airport,destination,slug,option,mode,fare_local,currency,fare_usd_mid,approx,time,stops,guide
AMS,Central Amsterdam,ams-to-central-amsterdam,Airport Sprinter (OVpay),regional,€5.50,EUR,6.28,False,15–20 min,3 stops,https://www.travelopshq.com/transit/ams-to-central-amsterdam
AMS,Central Amsterdam,ams-to-central-amsterdam,Airport Express Bus 397,bus,€6.50,EUR,7.42,False,~30 min,~10 stops,https://www.travelopshq.com/transit/ams-to-central-amsterdam
AMS,Central Amsterdam,ams-to-central-amsterdam,Official Schiphol Taxi,taxi,€45–€70,EUR,65.63,True,25–50 min,door-to-door,https://www.travelopshq.com/transit/ams-to-central-amsterdam
ATH,Central Athens,ath-to-central-athens,Metro Line 3 (Blue),rail,€9,EUR,10.27,False,40–45 min,~15 stops,https://www.travelopshq.com/transit/ath-to-central-athens
ATH,Central Athens,ath-to-central-athens,X95 Express Bus,bus,€5.50,EUR,6.28,False,60–90 min,~19 stops,https://www.travelopshq.com/transit/ath-to-central-athens
ATH,Central Athens,ath-to-central-athens,Taxi (fixed fare),taxi,€40–€55,EUR,54.22,True,35–60 min,door-to-door,https://www.travelopshq.com/transit/ath-to-central-athens
ATL,Downtown Atlanta,atl-to-downtown-atlanta,MARTA Gold/Red Line,rail,$2.50,USD,2.5,False,15–20 min,7 stops,https://www.travelopshq.com/transit/atl-to-downtown-atlanta
ATL,Downtown Atlanta,atl-to-downtown-atlanta,Uber / Lyft,ride,$22–$55,USD,38.5,True,20–50 min,door-to-door,https://www.travelopshq.com/transit/atl-to-downtown-atlanta
ATL,Downtown Atlanta,atl-to-downtown-atlanta,Taxi (city flat rate),taxi,$36 flat,USD,36.0,False,25–55 min,door-to-door,https://www.travelopshq.com/transit/atl-to-downtown-atlanta
BCN,Central Barcelona,bcn-to-central-barcelona,Aerobus A1 / A2,bus,€7.75,EUR,8.85,False,35–45 min,4 stops,https://www.travelopshq.com/transit/bcn-to-central-barcelona
BCN,Central Barcelona,bcn-to-central-barcelona,RENFE R2 Nord (from T2),regional,€4.90,EUR,5.59,False,19–26 min,~4 stops,https://www.travelopshq.com/transit/bcn-to-central-barcelona
BCN,Central Barcelona,bcn-to-central-barcelona,Official taxi (metered),taxi,€35–45,EUR,45.65,True,25–40 min,door-to-door,https://www.travelopshq.com/transit/bcn-to-central-barcelona
BKK,Central Bangkok,bkk-to-central-bangkok,Airport Rail Link,rail,15–45,THB,0.9,True,26–30 min,7 stops,https://www.travelopshq.com/transit/bkk-to-central-bangkok
BKK,Central Bangkok,bkk-to-central-bangkok,Grab (GrabCar),ride,400–600,THB,14.94,True,35–75 min,door-to-door,https://www.travelopshq.com/transit/bkk-to-central-bangkok
BKK,Central Bangkok,bkk-to-central-bangkok,Metered taxi,taxi,280–550,THB,12.4,True,35–90 min,door-to-door,https://www.travelopshq.com/transit/bkk-to-central-bangkok
BUD,Central Budapest,bud-to-central-budapest,100E Airport Express,bus,2500 HUF,HUF,7.95,False,35–50 min,3 stops,https://www.travelopshq.com/transit/bud-to-central-budapest
BUD,Central Budapest,bud-to-central-budapest,200E Bus + Metro M3,bus,850 HUF,HUF,2.7,False,45–65 min,~22 stops,https://www.travelopshq.com/transit/bud-to-central-budapest
